text,sentiment
I didn`t catch the Jonas Brothers Facebook Webcast...  It already ended when I logged in to my Facebook account...,neutral
Slowly getting ready for work,neutral
 why windows vista,neutral
"is back...been feeling ill and extremely busy all week. happy mother`s day, to all you mama`s out there",neutral
"_pe awesomeness! Phillip hasn`t completely finished it but if goes up, down, left, and right",neutral
Im downloading manually the oooiifull.mp4 movie by  as it seems the only way to see it fully,neutral
 hey cant wait 4 u guys 2 come over 2 jersey woop.... hope ur lookin 4ward 2 it coz we r  x,positive
"haha moms back today from a weekend away , her first words, ` whys the house so dirty?` i love life ..",neutral
"Wishing I could go with  to SoCo to go climb, instead I`m stuck at work all weekend",negative
"_richie I also saw u on American Idol great performance, I see u will be at Windsor in June 20 Commodores won`t be there",neutral
 Hi Ok i hope its head comes out of the clouds for you> i love Meadowbank shopping center,positive
"went on a ride to tortilla flats this morning with , a little warm, but a nice ride none the less",positive
" ohh yeh , but he was on sexy men so its okay",neutral
happy mothers day! im gunna crawl up in a ball and act like i dont exist  lmfaoo,positive
Dangling belly rings are a bad investment...the cutest ones ALWAYS pop,neutral
On my way to lake geneva and I miss my laura,negative
jason! bend over so i can hit it from the back,neutral
" OOooOO -- no, I have not! Glad to hear it was incredible, though! I still have it bookmarked to try sometime",positive
_Mounce yes and it lasts way past my bedtime!,neutral
 I would be there... But I live across the country,neutral
 hahaha thaanks!  iï¿½m from brazil!,positive
 in that case.. that`s a stupid move  I thought they were being B-A,negative
" I really should put up a pic, I guess.",neutral
dissapointed in every way....confused... and damaged by the ugly love bug,negative
OMG  I BROKE DOWN AND HAD PIZZA BECAUSE I WAS STRESSED OUT     you mad at me?,negative
 i`m not partying tonight,neutral
lol thats the highlight,positive
elliott claims steak and shake has been doing this for months...not exciting anymore...,negative
 perhaps because it`s 3 am Minday morning,neutral
Back at homes hmm.. i rly am going to miss my boo for 2 days like wtf,negative
"Ok, so I know it`s nearly 10:30pm here but  made me want some ice cream... I can`t get the Italian stuff though",neutral
 I am very jealous.  I was supposed to go see it in Seattle with a friend this summer but she had to bail out because of work,negative
" as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral
"? today  and tomorrow at  taipei, anyone  free for drink?  http://plurk.com/p/rpgyy",neutral
in rye..happy mothers day mums  ily mummy  lol,positive
 Time for me to seek out some coffee for my own caffein love affair too!! Mmmmm... Sweet been of hyper-goodness!!,positive
 yeah,neutral
"  AWOOOOGAHHHHHH!!!! heheee hope you get some decently priced breakfast real quick, David",positive
 have a awesome day at school!!!,positive
Well hello twitters,positive
" I`m the same way, but with Backstreet Boys. I remember gasping when they used 1 song on Chuck  I was like O.O OMFG NO WAY",negative
_x little Taylor? i feel sorry for the way she spells her name,negative
Ugh cant sleep on  this bus.  still have like 5 hours,negative
****... Why does it take so long to install SBS2008?!,negative
Currently working on a collab with Alynn Carter called Lost Inside which I`m very excited about,positive
@_missrachel how much?,neutral
 I heart you girls!! Let`s hang out soon!,positive
ahhh bank holiday slept late now going to dinner in my sisters whos a real 'monica'  hahah and im late il get cold dinner now,neutral
Going downstairs for more coffee and socialising  Wow... Only 4:16?.. Gives me time for French later,positive
 Kazim Kazim  i didn`t know that name ))),neutral
my dog ran awayyy,negative
: love the song 'together'. that`s 'his' song for me...well i think it`s still is,positive
Good morning!!!! Yes is 5:57am,neutral
I have one less follower  That makes me sad and I feel like my life is dull and uninteresting.,negative
Just finished cleaning the bathroom.  Now I smell like clorox,negative
"word is marlon brando gave him 25 cent . . . yeah , tha GODFATHER",neutral
" i think it`s fun, you gotta hide, and defend from your enemy, fun huh?",positive
Making Banana Bread,neutral
 Thanks! I will tell her my friends on Twitter say so.,positive
 oooo ok   why  havent you accepted my friends request,neutral
 Go for it!!,neutral
just cried all the way through the final episode of ER... and the `previously on ER` documentary about it!,negative
Just got refused a bottle of morgan`s in tesco despite saying helen could verify my age...  shocking... Just left all the shopping! X,negative
 Oh yea! I didn`t think it was open yet! They took over Ben & Jerry`s.  I loved that place.,positive
"got back from the party...suprisingly awesome, NEED to dance more often! overall, awesome night",positive
 Can I have a splodge of ketchup on mine please?!,neutral
"  I may see the sun come up. All my bits are sore today - but life is still grand  Tomorrow is a new day! Sleep well, Friend!",neutral
"Days with cellstorms, I like it!",positive
"Finally, I got my teaching load confusion cleared. I will teach 3 third year sections but with a catch.",positive
 Hey fellow Trojan..congrats on graduation.,positive
shakalohana week two of flat wavez no surfin,negative
" really good, but it`s definitely not a 12`s. So many people getting burned alive",positive
Happy Monday tweeples... hope it wasn`t to hard to get out of bed and back in gear!,neutral
  its awful. Xxxx,negative
"_The_Moon Do you mean  (Jim Bob, obviously) or  (Fruitbat)? I think Jim Bob played Brixton at the weekend. Cldnt go",neutral
Trying to go to sleep but no luck  I think i`m sick... =S,negative
Just took my IC photo!looks good  - http://tweet.sg,positive
 Or he`s gonna chop you up into tiny bits - one of the two,negative
Happy Mother`s Day to all the Mothers! Especially mine!  Enjoy ya day mothers!,positive
 Good luck 2 u and the babies,positive
Romantic evening in with papa murphys and 'battle BC' from the history channel,positive
: 3 hrs to go pa ako,neutral
" Thanks, Kelly! You are too sweet!",positive
 lol! I don`t know! but you dont need the plant! I`ll give you a hug instead! Hugs!,positive
"Augh, fever`s gone up again. If I end up missing the WeHo clubbing tomorrow night, I am going to be pissed. Stupid boytoy gave me plague.",negative
 I`m thinking you deserve an award. A big shiny one.,positive
 The pics should be up later today at www.dosriosrestaurant.com!,neutral
 yeah twitter is a lot of fun babe... especially when you`ve got ppl to talk to! lol & that sounds Goooooood lol,positive
 rat run steve irwin way to avoid long delays on bruce highway,negative
I was so hype about it being Friday & it raining outside..No rain all day... But its rainin when its time to kick-it..Mr Sun is trippin.,neutral
I failed my maths exam today. fxxxmylife,negative
 I don`t have the app that does it,neutral
" oh my god, i finally found someone online! haha",positive
happpy mothers day,positive
night 5 not talking to my victor  i`m so bored at night now. grrrr i hate this ****,negative
" My friend Cliff has the tix, so I have to wait on him   Or you can ask trent to just let me in.  You  know, over all else >.>.",neutral
 supposed to be back Sun (via private jet btw#!:o) but mite hav to stay bymyself (thnk god) for another week  & want Bruno!,neutral
"EVIL CREDIT CARD COMPANIES!!  God, and just when I was starting to *build* my credit again - I get this stupid `ding` from them!",negative
"made it into leadership, buttt i`m still not happy! how can i enjoy it without my best friend?",negative
 Happy Mother`s Day to the only mother I have on my list!,positive
 i wish i could but it would cost too much to call you all the way from the UK,negative
   sending you love on mother`s day and wishing you more happiness in the days ahead!,positive
I did.`t Get tht.,neutral
 yummy thanks  strangely quiet too. Kids are downstairs harassing Lance,neutral
 Tat PsP! Its ma fathers name. Hw did it end up in ma userid? Long story..  `vishnupsp` is ma user id for almost all sites.,neutral
 Oh we`re friends now? You know you`re so up & down with me.  I retract my last statement thennnnnnnn.,neutral
 No tango icons in this revision.,neutral
"Two months ago, I became irrelevant.",negative
yum - mother`s day lunch at The Food Business in Burnside was delicious! such a gorgeous day,positive
On our way to take photos at the park,neutral
 true that! don`t know why i bothered this morning cos I just put it up in a pony soon as I got to work anyways,negative
FOOOOOD  yummy so. whose washing the dishes now ? NOT ME ! not i ..    rofl,positive
 because your mean to me and it makes me sad!,negative
i just bit my tongue.  blood everywhere!!!,negative
 This is true... Clean clothes is a VERY good thing!   Enjoy your day! Love your new avatar BTW!,positive
looking for new ideas for my blog,neutral
 Hey Man Congratulations On The Graduation Man You`r World Wide Popular In Philippines,positive
 Oh...ok...didn`t know that.,neutral
Haven`t a clue about this twitter!,neutral
i just successfully defeated the swine flue with the power of positive thinking!  #Swineflu #H1N1 #Swine Flu,positive
My wiki project is going to have to wait another month  But manager thinks I need loads of time to prepare + has halved my workload,neutral
i cannot sleep due to watching UKTV food. its keeps my cravings at bay. i think my bodies guna ache tomro,negative
just getting off of work for the day! Hope everyone has a wonderful mother`s day tomorrow! Hope you enjoy ur cheesecakes too!,positive
" at freddies having a cotch and LADYHAWKE is here, just missing you my bajan beauty",negative
: We can`t wait to see you!   This week can not go fast enough!,positive
I have too much homework to do today,negative
so so tired..,neutral
" Sam, may I ask an odd question?  What might your fave animal be?",neutral
"I think Tania is too cute, too nice  I love her! <3",positive
following  keep me updated for the latest dance scene event,neutral
 Just ripping here.  That ad buy I was going to speak w/you about looks to be on hold for a bit. Company changed hands. :-/,neutral
"Watched GossiP.Girl. Dan`s so funny, haha.",positive
'how do you like them apples' is from the movie Rio Bravo. Good Will Hunting make a lot more sense now.,neutral
Crappy Day...,negative
 OMG that dunk on Dampier was MASSIVE! Big ups!!! Love it...,positive
I want an iPhone <33333,positive
Shots suuuuck!  im done  no more vacines!,negative
"trying to straighten my hair, but it`s too effing hot in here. also, i need food",negative
 I don`t think I`ll ever have one of those again,neutral
 i know  mark is still one of my favorite boys ever. So nice and adorable.,positive
Poor Nicole just absolutely DESTROYED her cell phone,negative
 That just means you were not trying hard enought,negative
thank God we finally found her!,positive
 What kind of coach would I be if I didn`t read all your tweets?    Still waiting on an non-dried afro picture.,neutral
"@_Tanyya :O  awww leave off, shes ace! Shes one of my fav actresses!",neutral
 Dave thanks for playing Happy Birthday from NKOTB. Today is my bday! It is a lonely bday today.,neutral
  _erincharde  hey you guys should invite me out...moody is my only friend these days,neutral
" im good thanks, may need you`re advice soon as im playing with a new font of my own",positive
" Welcome to Glasgow Felix, sorry I cant be there tonight",negative
UGH I missed the POTUS @ MY Five Guys!!!! 2 blocks from my house and 3 blocks from my job.  http://www.politico.com/politico44/,negative
I`m my mom`s company picnic at a Lake Elsinore Storm game. Oh the things we do to please moms,positive
"I assume nobody uses PortableApps anymore except for myself. In that case, forget what I said earlier",neutral
I have a sore tummy,negative
Mmmmmm.... Coffee...,neutral
just drove with my mom and brynn. my mom said im the worst driver EVER...really??,negative
Guys... a serious question. Which song do you like most of all your CDs? Be honest! I know you won`t reply me  <333 Maria,positive
 have a lok at EF too! they are jummy,positive
 hot weather for the lose. And I have to clean too!  Cleaning in the heat sucks balls.,negative
There was no traffic at all on my way home and all traffic lights were green.Im afraidIowe karma a big check,positive
 lol trying to take after her old man eh? Good for her! hehehe very cute!,positive
based on the similarity between 'May the 4th be with you' and 'May the force be with you' today it`s the 'Star Wars Day',neutral
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative
 any chance of seeing you at a race in germany? unfortunately hardly any tv & news coverage of cycling here anymore!,negative
_A_Tx lol i havent watched it yet..  congrats!,positive
 hey are you guys planning any So Cal headlining shows around the time of the Blink tour? We dont get you in Irvine,neutral
", you make baby jeebus cry",negative
" Hey girl!  Yeah, my allergies kick in at the most random times. Hmph.",negative
 im listening to people saying eww at out current frog disection  poor froggy.,negative
